date, xem, xrp, neo
2017-02-26,30,<1,74
2017-03-05,31,<1,73
2017-03-12,31,<1,72
2017-03-19,30,1,71
2017-03-26,30,1,70
2017-04-02,31,2,71
2017-04-09,30,1,69
2017-04-16,30,1,68
2017-04-23,30,1,68
2017-04-30,30,2,68
2017-05-07,31,4,67
2017-05-14,31,5,64
2017-05-21,31,5,63
2017-05-28,36,4,64
2017-06-04,33,4,65
2017-06-11,35,4,65
2017-06-18,31,4,65
2017-06-25,31,3,67
2017-07-02,31,2,66
2017-07-09,28,3,65
2017-07-16,29,3,64
2017-07-23,29,3,66
2017-07-30,30,3,65
2017-08-06,31,3,78
2017-08-13,30,3,100
2017-08-20,30,7,79
2017-08-27,30,5,75
2017-09-03,30,4,75
2017-09-10,29,3,70
2017-09-17,32,3,71
2017-09-24,32,3,79
2017-10-01,29,4,74
2017-10-08,31,6,72
2017-10-15,30,6,70
2017-10-22,30,3,69
2017-10-29,30,4,70
2017-11-05,30,4,71
2017-11-12,32,5,71
2017-11-19,32,6,76
2017-11-26,32,11,71
2017-12-03,34,13,73
2017-12-10,35,54,76
2017-12-17,35,57,79
2017-12-24,35,64,75
2017-12-31,36,83,76
2018-01-07,34,59,79
2018-01-14,33,37,81
2018-01-21,36,21,70
2018-01-28,36,20,72
2018-02-04,31,18,69
2018-02-11,31,15,67
2018-02-18,32,12,68